"feature_id","gene_symbol","ensembl_gene","custom_annotation"
"chr1:152737424-152738267","LCEP2","ENSG00000229713","Promoter (<=1kb)"
"chr1:152985282-152986558","SPRR1A","ENSG00000169474","Promoter (<=1kb)"
"chr1:153260246-153262107","LORICRIN","ENSG00000203782","Promoter (<=1kb)"
"chr1:153532771-153534406",NA,"ENSG00000238279","Promoter (<=1kb)"
"chr1:153658236-153658516","SNAPIN","ENSG00000143553","Promoter (<=1kb)"
"chr1:153727725-153728147","INTS3","ENSG00000143624","Promoter (<=1kb)"
"chr1:153750803-153751318",NA,"ENSG00000243613","Promoter (<=1kb)"
"chr1:153923646-153923921",NA,"ENSG00000284738","Promoter (<=1kb)"
"chr1:153967131-153967634","CREB3L4","ENSG00000143578","Promoter (<=1kb)"
"chr1:153989991-153990520","RPS27","ENSG00000177954","Promoter (<=1kb)"
"chr1:154553122-154553910","UBE2Q1-AS1","ENSG00000229780","Promoter (<=1kb)"
"chr1:154669469-154670609",NA,"ENSG00000287064","Promoter (<=1kb)"
"chr1:154982784-154983051","FLAD1","ENSG00000160688","Promoter (<=1kb)"
"chr1:155277183-155278167","HCN3","ENSG00000143630","Promoter (<=1kb)"
"chr1:155745257-155746703","MSTO2P","ENSG00000203761","Promoter (<=1kb)"
"chr1:156148005-156148856","SEMA4A","ENSG00000196189","Promoter (<=1kb)"
"chr1:156212810-156213066","PMF1-BGLAP","ENSG00000260238","Promoter (<=1kb)"
"chr1:156893386-156893926","PEAR1","ENSG00000187800","Promoter (<=1kb)"
"chr1:158290407-158291085","CD1C","ENSG00000158481","Promoter (<=1kb)"
"chr1:158999623-159000367","IFI16","ENSG00000163565","Promoter (<=1kb)"
"chr1:159957908-159958602","LINC01133","ENSG00000224259","Promoter (<=1kb)"
"chr1:160151338-160152181","ATP1A4","ENSG00000132681","Promoter (<=1kb)"
"chr1:160190975-160191451","CASQ1","ENSG00000143318","Promoter (<=1kb)"
"chr1:160796285-160796587","LY9","ENSG00000122224","Promoter (<=1kb)"
"chr1:161153098-161154550","UFC1","ENSG00000143222","Promoter (<=1kb)"
"chr1:161313596-161315264","SDHC","ENSG00000143252","Promoter (<=1kb)"
"chr1:162790260-162790753","HSD17B7","ENSG00000132196","Promoter (<=1kb)"
"chr1:166041336-166042136","RNA5SP64","ENSG00000207341","Promoter (<=1kb)"
"chr1:166164944-166165669",NA,"ENSG00000230898","Promoter (<=1kb)"
"chr1:166275711-166277656",NA,"ENSG00000215835","Promoter (<=1kb)"
"chr1:167053402-167055033",NA,"ENSG00000227907","Promoter (<=1kb)"
"chr1:168783880-168784221","LINC00626","ENSG00000225826","Promoter (<=1kb)"
"chr1:170662439-170662670","PRRX1","ENSG00000116132","Promoter (<=1kb)"
"chr1:172532094-172532402","SUCO","ENSG00000094975","Promoter (<=1kb)"
"chr1:172532413-172532655","SUCO","ENSG00000094975","Promoter (<=1kb)"
"chr1:17371576-17372740","PADI6","ENSG00000276747","Promoter (<=1kb)"
"chr1:174998845-174999504","CACYBP","ENSG00000116161","Promoter (<=1kb)"
"chr1:175876944-175877850","LINC01657","ENSG00000224718","Promoter (<=1kb)"
"chr1:179585968-179587040",NA,"ENSG00000227141","Promoter (<=1kb)"
"chr1:179881628-179882424","TOR1AIP1","ENSG00000143337","Promoter (<=1kb)"
"chr1:180508416-180509160","OVAAL","ENSG00000236719","Promoter (<=1kb)"
"chr1:180631245-180631522","XPR1","ENSG00000143324","Promoter (<=1kb)"
"chr1:181032949-181033798","MR1","ENSG00000153029","Promoter (<=1kb)"
"chr1:181191685-181193012",NA,"ENSG00000225359","Promoter (<=1kb)"
"chr1:182441329-182442772","TEDDM2P","ENSG00000233537","Promoter (<=1kb)"
"chr1:182614500-182615975","LINC01686","ENSG00000261504","Promoter (<=1kb)"
"chr1:18386264-18386997",NA,"ENSG00000225387","Promoter (<=1kb)"
"chr1:185044756-185046435","RNF2","ENSG00000121481","Promoter (<=1kb)"
"chr1:186828531-186829675","PLA2G4A","ENSG00000116711","Promoter (<=1kb)"
"chr1:1915892-1916281","CALML6","ENSG00000169885","Promoter (<=1kb)"
"chr1:192158187-192158747","RGS18","ENSG00000150681","Promoter (<=1kb)"
"chr1:192575243-192575853","RGS1","ENSG00000090104","Promoter (<=1kb)"
"chr1:192808054-192809834","RGS2","ENSG00000116741","Promoter (<=1kb)"
"chr1:193185734-193186755","B3GALT2","ENSG00000162630","Promoter (<=1kb)"
"chr1:198157911-198158349","NEK7","ENSG00000151414","Promoter (<=1kb)"
"chr1:198638909-198639592","PTPRC","ENSG00000081237","Promoter (<=1kb)"
"chr1:200872647-200874538","GPR25","ENSG00000170128","Promoter (<=1kb)"
"chr1:200915767-200916633","MROH3P","ENSG00000233217","Promoter (<=1kb)"
"chr1:201282941-201284578","PKP1","ENSG00000081277","Promoter (<=1kb)"
"chr1:201719475-201720575","MIR5191","ENSG00000264802","Promoter (<=1kb)"
"chr1:20184997-20186860","UBXN10","ENSG00000162543","Promoter (<=1kb)"
"chr1:20290356-20291381","VWA5B1","ENSG00000158816","Promoter (<=1kb)"
"chr1:203090507-203091483","ADORA1","ENSG00000163485","Promoter (<=1kb)"
"chr1:203625690-203625968","ATP2B4","ENSG00000058668","Promoter (<=1kb)"
"chr1:203795742-203796612","ZC3H11A","ENSG00000058673","Promoter (<=1kb)"
"chr1:20476274-20477001",NA,"ENSG00000284641","Promoter (<=1kb)"
"chr1:206469918-206471731","IKBKE","ENSG00000263528","Promoter (<=1kb)"
"chr1:207103850-207104496","C4BPA","ENSG00000123838","Promoter (<=1kb)"
"chr1:207320815-207321360","CD55","ENSG00000196352","Promoter (<=1kb)"
"chr1:209827353-209828588","UTP25","ENSG00000117597","Promoter (<=1kb)"
"chr1:211642829-211644268",NA,"ENSG00000228792","Promoter (<=1kb)"
"chr1:211724401-211725436",NA,"ENSG00000226868","Promoter (<=1kb)"
"chr1:218284497-218285680","RRP15","ENSG00000067533","Promoter (<=1kb)"
"chr1:218459822-218460881","LINC02869","ENSG00000228208","Promoter (<=1kb)"
"chr1:219174323-219175473","LYPLAL1","ENSG00000143353","Promoter (<=1kb)"
"chr1:219961643-219962469","U3","ENSG00000221673","Promoter (<=1kb)"
"chr1:22024426-22024703","LINC00339","ENSG00000218510","Promoter (<=1kb)"
"chr1:222737105-222737891","FAM177B","ENSG00000197520","Promoter (<=1kb)"
"chr1:22366074-22366804",NA,"ENSG00000279625","Promoter (<=1kb)"
"chr1:224175435-224176170",NA,"ENSG00000236773","Promoter (<=1kb)"
"chr1:224357742-224358157","CNIH4","ENSG00000143771","Promoter (<=1kb)"
"chr1:225699735-225701511",NA,"ENSG00000227496","Promoter (<=1kb)"
"chr1:225777914-225778432","SRP9","ENSG00000143742","Promoter (<=1kb)"
"chr1:226827553-226827843",NA,"ENSG00000287259","Promoter (<=1kb)"
"chr1:226939896-226940820","COQ8A","ENSG00000163050","Promoter (<=1kb)"
"chr1:227428968-227430931",NA,"ENSG00000242757","Promoter (<=1kb)"
"chr1:227727807-227730633","SNAP47","ENSG00000143740","Promoter (<=1kb)"
"chr1:228408124-228408324",NA,"ENSG00000231563","Promoter (<=1kb)"
"chr1:229248860-229249458","TMEM78","ENSG00000177800","Promoter (<=1kb)"
"chr1:229249973-229250924","TMEM78","ENSG00000177800","Promoter (<=1kb)"
"chr1:229409997-229411118","RN7SKP276","ENSG00000252051","Promoter (<=1kb)"
"chr1:231336924-231338770","SPRTN","ENSG00000010072","Promoter (<=1kb)"
"chr1:231528733-231529251","TSNAX","ENSG00000116918","Promoter (<=1kb)"
"chr1:232804599-232806454","MAP10","ENSG00000212916","Promoter (<=1kb)"
"chr1:234599446-234601278",NA,"ENSG00000289057","Promoter (<=1kb)"
"chr1:234629123-234629632","LINC00184","ENSG00000224939","Promoter (<=1kb)"
"chr1:235360983-235361698",NA,"ENSG00000230026","Promoter (<=1kb)"
"chr1:23581024-23581778","MDS2","ENSG00000197880","Promoter (<=1kb)"
"chr1:236523063-236525146","LGALS8-AS1","ENSG00000223776","Promoter (<=1kb)"
"chr1:23670612-23671428",NA,"ENSG00000229239","Promoter (<=1kb)"
"chr1:23691872-23692713","RPL11","ENSG00000142676","Promoter (<=1kb)"
"chr1:237862049-237862812",NA,"ENSG00000237250","Promoter (<=1kb)"
"chr1:244049551-244049823","ZBTB18","ENSG00000179456","Promoter (<=1kb)"
"chr1:244952574-244955123","RNU6-947P","ENSG00000252073","Promoter (<=1kb)"
"chr1:24705091-24706032",NA,"ENSG00000284699","Promoter (<=1kb)"
"chr1:247347599-247348415",NA,"ENSG00000286216","Promoter (<=1kb)"
"chr1:247895479-247896993","OR2W3","ENSG00000238243","Promoter (<=1kb)"
"chr1:248444505-248445031","OR2T2","ENSG00000196240","Promoter (<=1kb)"
"chr1:25809469-25811602",NA,"ENSG00000255054","Promoter (<=1kb)"
"chr1:26219938-26220481",NA,"ENSG00000278572","Promoter (<=1kb)"
"chr1:27393502-27394112","GPR3","ENSG00000181773","Promoter (<=1kb)"
"chr1:27725016-27725216",NA,"ENSG00000287244","Promoter (<=1kb)"
"chr1:27772586-27774034","STX12","ENSG00000117758","Promoter (<=1kb)"
"chr1:31575780-31577438","TINAGL1","ENSG00000142910","Promoter (<=1kb)"
"chr1:32107846-32108986","KPNA6","ENSG00000025800","Promoter (<=1kb)"
"chr1:32208831-32209358","DCDC2B","ENSG00000222046","Promoter (<=1kb)"
"chr1:32249723-32251632","LCK","ENSG00000182866","Promoter (<=1kb)"
"chr1:33466169-33466448","TLR12P","ENSG00000234512","Promoter (<=1kb)"
"chr1:3452559-3453798","ARHGEF16","ENSG00000130762","Promoter (<=1kb)"
"chr1:36155149-36155432","TRAPPC3","ENSG00000054116","Promoter (<=1kb)"
"chr1:36223389-36224498","THRAP3","ENSG00000054118","Promoter (<=1kb)"
"chr1:36305421-36305671","SH3D21","ENSG00000214193","Promoter (<=1kb)"
"chr1:37161256-37162021","MIR4255","ENSG00000264698","Promoter (<=1kb)"
"chr1:38009027-38009681","UTP11","ENSG00000183520","Promoter (<=1kb)"
"chr1:39154132-39155270","RNA5SP44","ENSG00000222378","Promoter (<=1kb)"
"chr1:39514310-39516119","OXCT2P1","ENSG00000237624","Promoter (<=1kb)"
"chr1:40344251-40344914","SMAP2","ENSG00000084070","Promoter (<=1kb)"
"chr1:40531016-40532182","ZNF684","ENSG00000117010","Promoter (<=1kb)"
"chr1:42152114-42152577","GUCA2B","ENSG00000044012","Promoter (<=1kb)"
"chr1:43649904-43650189","KDM4A","ENSG00000066135","Promoter (<=1kb)"
"chr1:43838391-43838766","MIR6079","ENSG00000283477","Promoter (<=1kb)"
"chr1:43933119-43934660","ARTN","ENSG00000117407","Promoter (<=1kb)"
"chr1:43969737-43970395","DPH2","ENSG00000132768","Promoter (<=1kb)"
"chr1:4483211-4483921",NA,"ENSG00000284694","Promoter (<=1kb)"
"chr1:45583125-45583325",NA,"ENSG00000289407","Promoter (<=1kb)"
"chr1:4572059-4572634","LINC01646","ENSG00000232596","Promoter (<=1kb)"
"chr1:46369875-46370540",NA,"ENSG00000225779","Promoter (<=1kb)"
"chr1:47000647-47002363","CYP4A27P","ENSG00000261593","Promoter (<=1kb)"
"chr1:48089320-48090205","CYP46A4P","ENSG00000237180","Promoter (<=1kb)"
"chr1:52056070-52057082","BTF3L4","ENSG00000134717","Promoter (<=1kb)"
"chr1:55217586-55217880","MIR4422HG","ENSG00000231090","Promoter (<=1kb)"
"chr1:56964107-56965167","C8B","ENSG00000021852","Promoter (<=1kb)"
"chr1:65420240-65421124","LEPROT","ENSG00000213625","Promoter (<=1kb)"
"chr1:65421210-65421410","LEPROT","ENSG00000213625","Promoter (<=1kb)"
"chr1:6624605-6626096","THAP3","ENSG00000041988","Promoter (<=1kb)"
"chr1:67684598-67684835","GADD45A","ENSG00000116717","Promoter (<=1kb)"
"chr1:70410573-70411002","CTH","ENSG00000116761","Promoter (<=1kb)"
"chr1:72283073-72284379",NA,"ENSG00000286863","Promoter (<=1kb)"
"chr1:76075704-76076384","ST6GALNAC3","ENSG00000184005","Promoter (<=1kb)"
"chr1:7770542-7772185","VAMP3","ENSG00000049245","Promoter (<=1kb)"
"chr1:77774217-77774764","ACTG1P21","ENSG00000232672","Promoter (<=1kb)"
"chr1:7783173-7783378","PER3","ENSG00000049246","Promoter (<=1kb)"
"chr1:7783768-7784937","PER3","ENSG00000049246","Promoter (<=1kb)"
"chr1:78619366-78620591","IFI44L","ENSG00000137959","Promoter (<=1kb)"
"chr1:80050246-80051147",NA,"ENSG00000285409","Promoter (<=1kb)"
"chr1:80051178-80052631",NA,"ENSG00000285409","Promoter (<=1kb)"
"chr1:8202153-8202963","LINC01714","ENSG00000227634","Promoter (<=1kb)"
"chr1:84478768-84480286","RPF1","ENSG00000117133","Promoter (<=1kb)"
"chr1:85599742-85599979",NA,"ENSG00000230285","Promoter (<=1kb)"
"chr1:86552220-86553698","CDCA4P2","ENSG00000224466","Promoter (<=1kb)"
"chr1:88497892-88498824",NA,"ENSG00000230053","Promoter (<=1kb)"
"chr1:8944781-8945410","CA6","ENSG00000131686","Promoter (<=1kb)"
"chr1:904900-905612",NA,"ENSG00000272438","Promoter (<=1kb)"
"chr1:9198335-9199466","MIR34AHG","ENSG00000228526","Promoter (<=1kb)"
"chr1:93199159-93200059",NA,"ENSG00000225297","Promoter (<=1kb)"
"chr1:9503030-9503277",NA,"ENSG00000235263","Promoter (<=1kb)"
"chr1:9504396-9504921",NA,"ENSG00000235263","Promoter (<=1kb)"
"chr1:95278186-95278889",NA,"ENSG00000228852","Promoter (<=1kb)"
"chr1:9538870-9539136","SLC25A33","ENSG00000171612","Promoter (<=1kb)"
"chr1:966024-967365","PLEKHN1","ENSG00000187583","Promoter (<=1kb)"
"chr1:99849886-99850998","AGL","ENSG00000162688","Promoter (<=1kb)"
"chr10:100996890-100998387","LZTS2","ENSG00000107816","Promoter (<=1kb)"
"chr10:102064847-102065157","HPS6","ENSG00000166189","Promoter (<=1kb)"
"chr10:102449414-102449626","C10orf95-AS1","ENSG00000269609","Promoter (<=1kb)"
"chr10:102853664-102854668","BORCS7","ENSG00000166275","Promoter (<=1kb)"
"chr10:104120943-104121508","SFR1","ENSG00000156384","Promoter (<=1kb)"
"chr10:104269323-104269703","GSTO2","ENSG00000065621","Promoter (<=1kb)"
"chr10:109996293-109996927","ADD3","ENSG00000148700","Promoter (<=1kb)"
"chr10:114239147-114240435","VWA2","ENSG00000165816","Promoter (<=1kb)"
"chr10:114937644-114938930","TRUB1","ENSG00000165832","Promoter (<=1kb)"
"chr10:11610769-11612394","USP6NL-AS1","ENSG00000271360","Promoter (<=1kb)"
"chr10:116620780-116622419","PNLIPRP2","ENSG00000266200","Promoter (<=1kb)"
"chr10:117197198-117197911","KCNK18","ENSG00000186795","Promoter (<=1kb)"
"chr10:121988187-121989448","TACC2","ENSG00000138162","Promoter (<=1kb)"
"chr10:122271056-122271718","BTBD16","ENSG00000138152","Promoter (<=1kb)"
"chr10:122558997-122560257","DMBT1","ENSG00000187908","Promoter (<=1kb)"
"chr10:123426876-123427738",NA,"ENSG00000225152","Promoter (<=1kb)"
"chr10:124801222-124802661","ABRAXAS2","ENSG00000165660","Promoter (<=1kb)"
"chr10:125683722-125685016",NA,"ENSG00000228021","Promoter (<=1kb)"
"chr10:13099122-13101281","OPTN","ENSG00000123240","Promoter (<=1kb)"
"chr10:13158209-13158655","BTBD7P1","ENSG00000203414","Promoter (<=1kb)"
"chr10:132395249-132397593","PWWP2B","ENSG00000171813","Promoter (<=1kb)"
"chr10:133157680-133160958","KNDC1","ENSG00000171798","Promoter (<=1kb)"
"chr10:133453479-133454774","SCART1","ENSG00000214279","Promoter (<=1kb)"
"chr10:15096539-15098136","RPP38","ENSG00000152464","Promoter (<=1kb)"
"chr10:16436307-16436719","PTER","ENSG00000165983","Promoter (<=1kb)"
"chr10:24951548-24953794",NA,"ENSG00000285859","Promoter (<=1kb)"
"chr10:30553675-30554488",NA,"ENSG00000228800","Promoter (<=1kb)"
"chr10:35607357-35608904",NA,"ENSG00000273312","Promoter (<=1kb)"
"chr10:38068060-38069631",NA,"ENSG00000275675","Promoter (<=1kb)"
"chr10:3911376-3912343","LINC02660","ENSG00000226005","Promoter (<=1kb)"
"chr10:42638127-42638398",NA,"ENSG00000285884","Promoter (<=1kb)"
"chr10:42781982-42783463","BMS1","ENSG00000165733","Promoter (<=1kb)"
"chr10:43436092-43436941","ZNF487","ENSG00000243660","Promoter (<=1kb)"
"chr10:4514033-4515176","RNU6-163P","ENSG00000207124","Promoter (<=1kb)"
"chr10:46375480-46376748","ANXA8L1","ENSG00000264230","Promoter (<=1kb)"
"chr10:46753431-46754513","CTSLP3","ENSG00000280913","Promoter (<=1kb)"
"chr10:46786039-46787579","BMS1P1","ENSG00000204177","Promoter (<=1kb)"
"chr10:49300124-49300428","C10orf71","ENSG00000177354","Promoter (<=1kb)"
"chr10:50739315-50740674","ASAH2B","ENSG00000204147","Promoter (<=1kb)"
"chr10:50991434-50993643","PRKG1","ENSG00000185532","Promoter (<=1kb)"
"chr10:58268329-58269560","CISD1","ENSG00000122873","Promoter (<=1kb)"
"chr10:58511671-58512013","BICC1","ENSG00000122870","Promoter (<=1kb)"
"chr10:60777923-60778193","CDK1","ENSG00000170312","Promoter (<=1kb)"
"chr10:61900582-61900849","ARID5B","ENSG00000150347","Promoter (<=1kb)"
"chr10:6270360-6270871","LINC02649","ENSG00000215244","Promoter (<=1kb)"
"chr10:65570183-65571088","LINC01515","ENSG00000228065","Promoter (<=1kb)"
"chr10:6619710-6620382","LINC02648","ENSG00000225948","Promoter (<=1kb)"
"chr10:68157980-68158346","RN7SKP202","ENSG00000222371","Promoter (<=1kb)"
"chr10:68955426-68956781","DDX21","ENSG00000165732","Promoter (<=1kb)"
"chr10:69022661-69023530","ACTBP14","ENSG00000229001","Promoter (<=1kb)"
"chr10:69685890-69687830","LINC02651","ENSG00000235645","Promoter (<=1kb)"
"chr10:70405011-70405790","EIF4EBP2","ENSG00000148730","Promoter (<=1kb)"
"chr10:70479645-70480217","PALD1","ENSG00000107719","Promoter (<=1kb)"
"chr10:71888570-71889915",NA,"ENSG00000289592","Promoter (<=1kb)"
"chr10:73743668-73744163",NA,"ENSG00000279088","Promoter (<=1kb)"
"chr10:73744180-73744934",NA,"ENSG00000279088","Promoter (<=1kb)"
"chr10:78033970-78034526","RPS24","ENSG00000138326","Promoter (<=1kb)"
"chr10:79904134-79905685",NA,"ENSG00000283913","Promoter (<=1kb)"
"chr10:80249869-80250312",NA,"ENSG00000279359","Promoter (<=1kb)"
"chr10:8044932-8045604","GATA3","ENSG00000107485","Promoter (<=1kb)"
"chr10:80537807-80538800","SH2D4B","ENSG00000178217","Promoter (<=1kb)"
"chr10:84267478-84267916","LINC00858","ENSG00000229404","Promoter (<=1kb)"
"chr10:84329360-84329580","CCSER2","ENSG00000107771","Promoter (<=1kb)"
"chr10:86631700-86633259","RPL7AP8","ENSG00000230507","Promoter (<=1kb)"
"chr10:87817600-87818873","CFL1P1","ENSG00000223820","Promoter (<=1kb)"
"chr10:88759525-88760453","LIPN","ENSG00000204020","Promoter (<=1kb)"
"chr10:89829646-89830444","LINC00865","ENSG00000232229","Promoter (<=1kb)"
"chr10:91161913-91164264","PCGF5","ENSG00000180628","Promoter (<=1kb)"
"chr10:91923358-91924545","BTAF1","ENSG00000095564","Promoter (<=1kb)"
"chr10:92291999-92292373","MARCHF5","ENSG00000198060","Promoter (<=1kb)"
"chr10:92418928-92420440","MARK2P9","ENSG00000232709","Promoter (<=1kb)"
"chr10:93495528-93496355","CEP55","ENSG00000138180","Promoter (<=1kb)"
"chr10:97318511-97318858","FRAT1","ENSG00000165879","Promoter (<=1kb)"
"chr10:97333715-97335609",NA,"ENSG00000225850","Promoter (<=1kb)"
"chr10:99926491-99927358","DNMBP-AS1","ENSG00000227695","Promoter (<=1kb)"
"chr11:10724838-10725996","Y_RNA","ENSG00000206858","Promoter (<=1kb)"
"chr11:10752182-10752382","CTR9","ENSG00000198730","Promoter (<=1kb)"
"chr11:108008505-108008714",NA,"ENSG00000288012","Promoter (<=1kb)"
"chr11:108664356-108664796","DDX10","ENSG00000178105","Promoter (<=1kb)"
"chr11:111601763-111603647","SIK2","ENSG00000170145","Promoter (<=1kb)"
"chr11:112167229-112167781","TEX12","ENSG00000150783","Promoter (<=1kb)"
"chr11:114257575-114260265","NNMT","ENSG00000166741","Promoter (<=1kb)"
"chr11:11569650-11570528",NA,"ENSG00000255462","Promoter (<=1kb)"
"chr11:116835055-116836630","APOA1-AS","ENSG00000235910","Promoter (<=1kb)"
"chr11:117136172-117136841",NA,"ENSG00000254851","Promoter (<=1kb)"
"chr11:117178151-117178600","SIDT2","ENSG00000149577","Promoter (<=1kb)"
"chr11:117178635-117179997","SIDT2","ENSG00000149577","Promoter (<=1kb)"
"chr11:118415528-118416110",NA,"ENSG00000269944","Promoter (<=1kb)"
"chr11:118605178-118605888","PHLDB1","ENSG00000019144","Promoter (<=1kb)"
"chr11:118699555-118699835",NA,"ENSG00000255422","Promoter (<=1kb)"
"chr11:119066743-119067859","VPS11-DT","ENSG00000272186","Promoter (<=1kb)"
"chr11:119186128-119186858","PDZD3","ENSG00000172367","Promoter (<=1kb)"
"chr11:119381110-119381469","USP2","ENSG00000036672","Promoter (<=1kb)"
"chr11:119402460-119403278",NA,"ENSG00000254590","Promoter (<=1kb)"
"chr11:120013103-120014777",NA,"ENSG00000255216","Promoter (<=1kb)"
"chr11:12086225-12088500",NA,"ENSG00000255400","Promoter (<=1kb)"
"chr11:121023279-121024896","TBCEL","ENSG00000154114","Promoter (<=1kb)"
"chr11:12162991-12164312","MIR6124","ENSG00000275373","Promoter (<=1kb)"
"chr11:122681420-122682236",NA,"ENSG00000286341","Promoter (<=1kb)"
"chr11:122851451-122851943",NA,"ENSG00000285909","Promoter (<=1kb)"
"chr11:123034491-123035177","RPL34P23","ENSG00000243669","Promoter (<=1kb)"
"chr11:125832721-125833424","PATE4","ENSG00000237353","Promoter (<=1kb)"
"chr11:126303348-126305097","DCPS","ENSG00000110063","Promoter (<=1kb)"
"chr11:128095223-128096056","LINC02725","ENSG00000273415","Promoter (<=1kb)"
"chr11:128302069-128302446",NA,"ENSG00000289093","Promoter (<=1kb)"
"chr11:128891811-128892357","KCNJ5","ENSG00000120457","Promoter (<=1kb)"
"chr11:13135321-13136688",NA,"ENSG00000255558","Promoter (<=1kb)"
"chr11:134008147-134009159","LINC02730","ENSG00000255406","Promoter (<=1kb)"
"chr11:134032500-134032760","LINC02731","ENSG00000204241","Promoter (<=1kb)"
"chr11:134712248-134713142","LINC02706","ENSG00000255344","Promoter (<=1kb)"
"chr11:134736475-134737168","LINC02714","ENSG00000251226","Promoter (<=1kb)"
"chr11:14907147-14908298","CALCP","ENSG00000253179","Promoter (<=1kb)"
"chr11:1662684-1663235",NA,"ENSG00000231487","Promoter (<=1kb)"
"chr11:1663321-1663817",NA,"ENSG00000231487","Promoter (<=1kb)"
"chr11:17547896-17548253","OTOG","ENSG00000188162","Promoter (<=1kb)"
"chr11:18196028-18196604","MRGPRX13P","ENSG00000254546","Promoter (<=1kb)"
"chr11:18265740-18266797","SAA1","ENSG00000173432","Promoter (<=1kb)"
"chr11:18693019-18693647","TMEM86A","ENSG00000151117","Promoter (<=1kb)"
"chr11:1896649-1897862","LINC01150","ENSG00000229671","Promoter (<=1kb)"
"chr11:19116303-19116712","ZDHHC13","ENSG00000177054","Promoter (<=1kb)"
"chr11:19116851-19117929","ZDHHC13","ENSG00000177054","Promoter (<=1kb)"
"chr11:1990231-1991730","LINC01219","ENSG00000232987","Promoter (<=1kb)"
"chr11:31812273-31813359","PAUPAR","ENSG00000281880","Promoter (<=1kb)"
"chr11:32438916-32439434",NA,"ENSG00000276530","Promoter (<=1kb)"
"chr11:33005021-33005748","Y_RNA","ENSG00000200615","Promoter (<=1kb)"
"chr11:33039426-33040614","TCP11L1","ENSG00000176148","Promoter (<=1kb)"
"chr11:33450406-33451154",NA,"ENSG00000255207","Promoter (<=1kb)"
"chr11:34439742-34439942","CAT","ENSG00000121691","Promoter (<=1kb)"
"chr11:3644624-3645241","ART1","ENSG00000129744","Promoter (<=1kb)"
"chr11:43925070-43925529","C11orf96","ENSG00000187479","Promoter (<=1kb)"
