"Cluster","EdgeBetweenness","interaction","modality","name","Peak_chr","Peak_end","Peak_start","regulator_id","selected","shared interaction","shared name","site","source","strand","Target_gene_id","target_id","TF_id","tissue","Weight"
,"12511.809523809508","binds","","ZNF341 (binds) SSH1","chr12","108839696","108838183","","false","binds","ZNF341 (binds) SSH1","","MAGICAL","-","ENSG00000084112.15","","ENSG00000131061.14","",
"9","538093.98571426","regulates","RE","CIC (regulates) INMT","",,,"Q96RK0_S739s","false","regulates","CIC (regulates) INMT","S739s","SCION","","","ENSG00000241644.2","","muscle","0.110426807361813"
"13","585497.5716449926","regulates","RE","NFIC (regulates) CEP85L","",,,"P08651_S333s","false","regulates","NFIC (regulates) CEP85L","S333s","SCION","","","ENSG00000111860.14","","muscle","0.16486433940138"
,"26670.746031743896","binds","","MEIS1 (binds) IDI2-AS1","chr10","1037098","1036326","","false","binds","MEIS1 (binds) IDI2-AS1","","MAGICAL","+","ENSG00000232656.9","","ENSG00000143995.20","",
"9","10587.66746031704","regulates","RE","CIC (regulates) SCARNA7","",,,"Q96RK0_S739s","false","regulates","CIC (regulates) SCARNA7","S739s","SCION","","","ENSG00000238741.1","","muscle","0.112350183519349"
"13","170563.95912697903","regulates","RE","NFIC (regulates) NUP98","",,,"P08651_S333s","false","regulates","NFIC (regulates) NUP98","S333s","SCION","","","ENSG00000110713.17","","muscle","0.279191287956292"
"9","260253.38362196102","regulates","RE","CIC (regulates) LINC01301","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) LINC01301","S904s","SCION","","","ENSG00000251396.8","","muscle","0.107380217110082"
"13","211277.34740259527","regulates","RE","NFIC (regulates) ERBIN","",,,"P08651_S333s","false","regulates","NFIC (regulates) ERBIN","S333s","SCION","","","ENSG00000112851.15","","muscle","0.14924707464611"
"9","9583.872113996827","regulates","RE","CIC (regulates) PDCL3P4","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) PDCL3P4","S904s","SCION","","","ENSG00000244119.2","","muscle","0.206298587770027"
"13","371339.7962821632","regulates","RE","NFIC (regulates) PRPF4B","",,,"P08651_S333s","false","regulates","NFIC (regulates) PRPF4B","S333s","SCION","","","ENSG00000112739.17","","muscle","0.516105671038959"
,"6945.999999999929","binds","","MEIS1 (binds) HHATL-AS1","chr3","42694510","42694103","","false","binds","MEIS1 (binds) HHATL-AS1","","MAGICAL","+","ENSG00000230970.4","","ENSG00000143995.20","",
"9","544831.7991341902","regulates","RE","CIC (regulates) ENSG00000255426.1","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) ENSG00000255426.1","S904s","SCION","","","ENSG00000255426.1","","muscle","0.12610823477808"
"13","367271.197869449","regulates","RE","NFIC (regulates) GHR","",,,"P08651_S333s","false","regulates","NFIC (regulates) GHR","S333s","SCION","","","ENSG00000112964.14","","muscle","0.102067262033091"
"4","16833.066666666888","regulates","EE","SAFB (regulates) CORO1C","",,,"Q15424_S344s","false","regulates","SAFB (regulates) CORO1C","S344s","SCION","","","ENSG00000110880.11","","muscle","0.128752764472969"
"9","121353.47551892643","regulates","RE","CIC (regulates) ENSG00000254833.1","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) ENSG00000254833.1","S904s","SCION","","","ENSG00000254833.1","","muscle","0.171339406035536"
"13","1203093.0","regulates","RE","NFIC (regulates) CEP72","",,,"P08651_S333s","false","regulates","NFIC (regulates) CEP72","S333s","SCION","","","ENSG00000112877.8","","muscle","0.213721932812891"
,"16944.416666667126","binds","","MEIS1 (binds) UBE2V1","chr20","50127243","50126566","","false","binds","MEIS1 (binds) UBE2V1","","MAGICAL","-","ENSG00000244687.13","","ENSG00000143995.20","",
"9","326183.71399412304","regulates","RE","CIC (regulates) ENSG00000267127.7","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) ENSG00000267127.7","S904s","SCION","","","ENSG00000267127.7","","muscle","0.114491092715078"
"13","464347.29300977837","regulates","RE","NFIC (regulates) TCERG1","",,,"P08651_S333s","false","regulates","NFIC (regulates) TCERG1","S333s","SCION","","","ENSG00000113649.13","","muscle","0.152079254870212"
"9","33787.05558783425","regulates","RE","CIC (regulates) ENSG00000261211.2","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) ENSG00000261211.2","S904s","SCION","","","ENSG00000261211.2","","muscle","0.149126559653935"
"1","557892.4790598049","regulates","EE","NFIC (regulates) CERT1","",,,"P08651_T274t","false","regulates","NFIC (regulates) CERT1","T274t","SCION","","","ENSG00000113163.19","","muscle","0.13237635468736"
"9","63586.14722222569","regulates","RE","CIC (regulates) ENSG00000276805.2","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) ENSG00000276805.2","S904s","SCION","","","ENSG00000276805.2","","muscle","0.131394035187469"
"13","554124.72619053","regulates","RE","NFIC (regulates) CBLB","",,,"P08651_S333s","false","regulates","NFIC (regulates) CBLB","S333s","SCION","","","ENSG00000114423.23","","muscle","0.218419266859433"
,"960887.0762374952","binds","","MEIS1 (binds) MAFF","chr22","38215949","38213254","","false","binds","MEIS1 (binds) MAFF","","MAGICAL","+","ENSG00000185022.12","","ENSG00000143995.20","",
"13","1184294.7500000824","regulates","RE","NFIC (regulates) XRN1","",,,"P08651_S333s","false","regulates","NFIC (regulates) XRN1","S333s","SCION","","","ENSG00000114127.11","","muscle","0.212694568965439"
"13","27487.57216117325","regulates","RE","NFIC (regulates) CLIP4","",,,"P08651_S333s","false","regulates","NFIC (regulates) CLIP4","S333s","SCION","","","ENSG00000115295.21","","muscle","0.183112622459515"
"13","1079174.2857141702","regulates","RE","NFIC (regulates) NCL","",,,"P08651_S333s","false","regulates","NFIC (regulates) NCL","S333s","SCION","","","ENSG00000115053.17","","muscle","0.221783478024621"
"13","16178.35595238035","regulates","RE","NFIC (regulates) FHL2","",,,"P08651_S333s","false","regulates","NFIC (regulates) FHL2","S333s","SCION","","","ENSG00000115641.19","","muscle","0.192816628805683"
,"29871.199999997913","binds","","MEIS1 (binds) IDI1","chr10","1037098","1036326","","false","binds","MEIS1 (binds) IDI1","","MAGICAL","-","ENSG00000067064.12","","ENSG00000143995.20","",
"9","60356.284126986066","regulates","RE","CIC (regulates) ENSG00000279789.1","",,,"Q96RK0_S904s","false","regulates","CIC (regulates) ENSG00000279789.1","S904s","SCION","","","ENSG00000279789.1","","muscle","0.25037560161856"
"13","677460.0314648726","regulates","RE","NFIC (regulates) SF3B1","",,,"P08651_S333s","false","regulates","NFIC (regulates) SF3B1","S333s","SCION","","","ENSG00000115524.17","","muscle","0.325215114906514"
"13","1049663.1420634708","regulates","RE","NFIC (regulates) SRSF4","",,,"P08651_S333s","false","regulates","NFIC (regulates) SRSF4","S333s","SCION","","","ENSG00000116350.18","","muscle","0.106874463215059"
,"19162.300000000818","binds","","MEIS1 (binds) VEGFA","chr6","43780441","43779759","","false","binds","MEIS1 (binds) VEGFA","","MAGICAL","+","ENSG00000112715.26","","ENSG00000143995.20","",
"4","2146.025765900788","regulates","EE","CIC (regulates) IFRD1","",,,"Q96RK0_S739s","false","regulates","CIC (regulates) IFRD1","S739s","SCION","","","ENSG00000006652.15","","muscle","0.166986098084717"
"13","1120940.1335164572","regulates","RE","NFIC (regulates) BIRC6","",,,"P08651_S333s","false","regulates","NFIC (regulates) BIRC6","S333s","SCION","","","ENSG00000115760.15","","muscle","0.177307201176458"
"4","105070.51172160704","regulates","EE","SAFB (regulates) CLIP4","",,,"Q15424_S344s","false","regulates","SAFB (regulates) CLIP4","S344s","SCION","","","ENSG00000115295.21","","muscle","0.126471031663669"
"13","1110626.8763735893","regulates","RE","NFIC (regulates) CTH","",,,"P08651_S333s","false","regulates","NFIC (regulates) CTH","S333s","SCION","","","ENSG00000116761.12","","muscle","0.36912935431467"
,"14654.627777777663","binds","","MEIS1 (binds) PFKFB3","chr10","6232760","6232272","","false","binds","MEIS1 (binds) PFKFB3","","MAGICAL","+","ENSG00000170525.21","","ENSG00000143995.20","",
"13","68951.91666666613","regulates","RE","NFIC (regulates) RNF19B","",,,"P08651_S333s","false","regulates","NFIC (regulates) RNF19B","S333s","SCION","","","ENSG00000116514.17","","muscle","0.118627007693821"
"13","1070344.0145021298","regulates","RE","NFIC (regulates) GDA","",,,"P08651_S333s","false","regulates","NFIC (regulates) GDA","S333s","SCION","","","ENSG00000119125.17","","muscle","0.222864871655191"
,"8642.860606060878","binds","","MEIS1 (binds) ENAH","chr1","225737025","225735348","","false","binds","MEIS1 (binds) ENAH","","MAGICAL","-","ENSG00000154380.18","","ENSG00000143995.20","",
"13","21692.138888890873","regulates","RE","NFIC (regulates) MTR","",,,"P08651_S333s","false","regulates","NFIC (regulates) MTR","S333s","SCION","","","ENSG00000116984.15","","muscle","0.160129042789558"
"4","73051.0388888876","regulates","EE","SAFB (regulates) MTR","",,,"Q15424_S234s","false","regulates","SAFB (regulates) MTR","S234s","SCION","","","ENSG00000116984.15","","muscle","0.110882504137785"
"13","482474.4001526262","regulates","RE","NFIC (regulates) HSDL2","",,,"P08651_S333s","false","regulates","NFIC (regulates) HSDL2","S333s","SCION","","","ENSG00000119471.15","","muscle","0.127729367307081"
,"40389.9234848508","binds","","MEIS1 (binds) ITIH4-AS1","chr3","52831220","52830954","","false","binds","MEIS1 (binds) ITIH4-AS1","","MAGICAL","+","ENSG00000239799.1","","ENSG00000143995.20","",
"13","478560.5037618227","regulates","RE","NFIC (regulates) KLF9","",,,"P08651_S333s","false","regulates","NFIC (regulates) KLF9","S333s","SCION","","","ENSG00000119138.5","","muscle","0.148509768852693"
,"13604.928571428443","binds","","MEIS1 (binds) FLNC-AS1","chr7","128854860","128853904","","false","binds","MEIS1 (binds) FLNC-AS1","","MAGICAL","-","ENSG00000242902.1","","ENSG00000143995.20","",
"13","391162.38327847706","regulates","RE","NFIC (regulates) MTERF2","",,,"P08651_S333s","false","regulates","NFIC (regulates) MTERF2","S333s","SCION","","","ENSG00000120832.10","","muscle","0.129457330047939"
"4","15724.182330827527","regulates","EE","SAFB (regulates) PPP1R3C","",,,"Q15424_S234s","false","regulates","SAFB (regulates) PPP1R3C","S234s","SCION","","","ENSG00000119938.9","","muscle","0.133763597977363"
,"27375.500000001637","binds","","MEIS1 (binds) ST8SIA2","chr15","92401755","92400623","","false","binds","MEIS1 (binds) ST8SIA2","","MAGICAL","+","ENSG00000140557.12","","ENSG00000143995.20","",
"13","302022.5854441458","regulates","RE","NFIC (regulates) AVPI1","",,,"P08651_S333s","false","regulates","NFIC (regulates) AVPI1","S333s","SCION","","","ENSG00000119986.7","","muscle","0.122798735990152"
"4","5543195.66624318","regulates","EE","CIC (regulates) DBP","",,,"Q96RK0_S739s","false","regulates","CIC (regulates) DBP","S739s","SCION","","","ENSG00000105516.11","","muscle","0.103640117793785"
"13","7343.111111111528","regulates","RE","NFIC (regulates) AKAP1","",,,"P08651_S333s","false","regulates","NFIC (regulates) AKAP1","S333s","SCION","","","ENSG00000121057.13","","muscle","0.224274845982137"
,"13604.928571428443","binds","","MEIS1 (binds) KCP","chr7","128854860","128853904","","false","binds","MEIS1 (binds) KCP","","MAGICAL","-","ENSG00000135253.16","","ENSG00000143995.20","",
"13","89723.14743230033","regulates","RE","NFIC (regulates) TNFRSF8","",,,"P08651_S333s","false","regulates","NFIC (regulates) TNFRSF8","S333s","SCION","","","ENSG00000120949.15","","muscle","0.105372541241905"
"4","362239.2521108023","regulates","EE","SAFB (regulates) AVPI1","",,,"Q15424_S234s","false","regulates","SAFB (regulates) AVPI1","S234s","SCION","","","ENSG00000119986.7","","muscle","0.153183014747815"
"13","496513.1583277799","regulates","RE","NFIC (regulates) ZC3H7A","",,,"P08651_S333s","false","regulates","NFIC (regulates) ZC3H7A","S333s","SCION","","","ENSG00000122299.12","","muscle","0.299941212549702"
,"24103.133333335478","binds","","MEIS1 (binds) RRAD","chr16","66997471","66996305","","false","binds","MEIS1 (binds) RRAD","","MAGICAL","-","ENSG00000166592.12","","ENSG00000143995.20","",
"13","35424.207314746134","regulates","RE","NFIC (regulates) ZNF211","",,,"P08651_S333s","false","regulates","NFIC (regulates) ZNF211","S333s","SCION","","","ENSG00000121417.14","","muscle","0.10973051285538"
"4","13045.450000000357","regulates","EE","SAFB (regulates) SLC25A51","",,,"Q15424_S234s","false","regulates","SAFB (regulates) SLC25A51","S234s","SCION","","","ENSG00000122696.14","","muscle","0.139298696862103"
,"8852.74999999994","binds","","MEIS1 (binds) LMCD1","chr3","8544630","8543983","","false","binds","MEIS1 (binds) LMCD1","","MAGICAL","+","ENSG00000071282.12","","ENSG00000143995.20","",
"13","53964.91428570987","regulates","RE","NFIC (regulates) SMU1","",,,"P08651_S333s","false","regulates","NFIC (regulates) SMU1","S333s","SCION","","","ENSG00000122692.9","","muscle","0.172951254753011"
"13","1215332.0","regulates","RE","NFIC (regulates) NT5C3A","",,,"P08651_S333s","false","regulates","NFIC (regulates) NT5C3A","S333s","SCION","","","ENSG00000122643.23","","muscle","0.142421994881608"
,"13145.923809523449","binds","","MEIS1 (binds) ATP6V1FNB","chr7","128854860","128853904","","false","binds","MEIS1 (binds) ATP6V1FNB","","MAGICAL","+","ENSG00000272899.4","","ENSG00000143995.20","",
"13","1060708.6273808158","regulates","RE","NFIC (regulates) IFT81","",,,"P08651_S333s","false","regulates","NFIC (regulates) IFT81","S333s","SCION","","","ENSG00000122970.16","","muscle","0.134330124009609"
,"12581.399999999247","binds","","MEIS1 (binds) PIM1","chr6","37135224","37134186","","false","binds","MEIS1 (binds) PIM1","","MAGICAL","+","ENSG00000137193.14","","ENSG00000143995.20","",
"13","901192.1809523845","regulates","RE","NFIC (regulates) BICC1","",,,"P08651_S333s","false","regulates","NFIC (regulates) BICC1","S333s","SCION","","","ENSG00000122870.12","","muscle","0.104985057269799"
"13","352466.47368936974","regulates","RE","NFIC (regulates) FAM124B","",,,"P08651_S333s","false","regulates","NFIC (regulates) FAM124B","S333s","SCION","","","ENSG00000124019.10","","muscle","0.137091098997936"
,"16949.833333331848","binds","","MEIS1 (binds) TSC22D2","chr3","150470523","150469168","","false","binds","MEIS1 (binds) TSC22D2","","MAGICAL","+","ENSG00000196428.13","","ENSG00000143995.20","",
"13","629840.6417915089","regulates","RE","NFIC (regulates) NLN","",,,"P08651_S333s","false","regulates","NFIC (regulates) NLN","S333s","SCION","","","ENSG00000123213.23","","muscle","0.132022241326755"
,"32397.80645161412","binds","","MEIS1 (binds) FGF9","chr13","21762889","21762166","","false","binds","MEIS1 (binds) FGF9","","MAGICAL","+","ENSG00000102678.7","","ENSG00000143995.20","",
"13","620695.0068139269","regulates","RE","NFIC (regulates) MAX","",,,"P08651_S333s","false","regulates","NFIC (regulates) MAX","S333s","SCION","","","ENSG00000125952.20","","muscle","0.165539999743303"
"13","582998.2888555765","regulates","RE","NFIC (regulates) AHNAK","",,,"P08651_S333s","false","regulates","NFIC (regulates) AHNAK","S333s","SCION","","","ENSG00000124942.14","","muscle","0.169994027020467"
"13","137117.63690476067","regulates","RE","NFIC (regulates) PNPLA7","",,,"P08651_S333s","false","regulates","NFIC (regulates) PNPLA7","S333s","SCION","","","ENSG00000130653.16","","muscle","0.136615814322326"
,"23289.38000000299","binds","","MEIS1 (binds) PACSIN2","chr22","43029005","43028010","","false","binds","MEIS1 (binds) PACSIN2","","MAGICAL","-","ENSG00000100266.19","","ENSG00000143995.20","",
"13","41991.00952381306","regulates","RE","NFIC (regulates) DOCK4","",,,"P08651_S333s","false","regulates","NFIC (regulates) DOCK4","S333s","SCION","","","ENSG00000128512.24","","muscle","0.20452845000427"
"13","1120379.3812027597","regulates","RE","NFIC (regulates) ZC3H4","",,,"P08651_S333s","false","regulates","NFIC (regulates) ZC3H4","S333s","SCION","","","ENSG00000130749.10","","muscle","0.278204264498258"
"13","1068626.2857141774","regulates","RE","NFIC (regulates) TRIM28","",,,"P08651_S333s","false","regulates","NFIC (regulates) TRIM28","S333s","SCION","","","ENSG00000130726.12","","muscle","0.290222002557363"
"4","19966.17993697659","regulates","EE","SAFB (regulates) HIVEP3","",,,"Q15424_S344s","false","regulates","SAFB (regulates) HIVEP3","S344s","SCION","","","ENSG00000127124.16","","muscle","0.117853622635641"
"13","526882.2916666551","regulates","RE","NFIC (regulates) SLC6A6","",,,"P08651_S333s","false","regulates","NFIC (regulates) SLC6A6","S333s","SCION","","","ENSG00000131389.18","","muscle","0.204562057428527"
,"24450.058333333134","binds","","MEIS1 (binds) SEC61B","chr9","99128409","99127548","","false","binds","MEIS1 (binds) SEC61B","","MAGICAL","+","ENSG00000106803.10","","ENSG00000143995.20","",
"13","1087943.5396824905","regulates","RE","NFIC (regulates) SESN2","",,,"P08651_S333s","false","regulates","NFIC (regulates) SESN2","S333s","SCION","","","ENSG00000130766.5","","muscle","0.150631727978296"
,"9013.321428571877","binds","","MEIS1 (binds) FLNC","chr7","128854860","128853904","","false","binds","MEIS1 (binds) FLNC","","MAGICAL","+","ENSG00000128591.16","","ENSG00000143995.20","",
"13","624257.109015549","regulates","RE","NFIC (regulates) KHDC4","",,,"P08651_S333s","false","regulates","NFIC (regulates) KHDC4","S333s","SCION","","","ENSG00000132680.11","","muscle","0.275661614782682"
"13","132889.06382783194","regulates","RE","NFIC (regulates) PRKAA1","",,,"P08651_S333s","false","regulates","NFIC (regulates) PRKAA1","S333s","SCION","","","ENSG00000132356.12","","muscle","0.150373256136269"
"13","576827.4383116966","regulates","RE","NFIC (regulates) ARNTL","",,,"P08651_S333s","false","regulates","NFIC (regulates) ARNTL","S333s","SCION","","","ENSG00000133794.20","","muscle","0.108902008830569"
"13","1203095.0","regulates","RE","NFIC (regulates) BTG1","",,,"P08651_S333s","false","regulates","NFIC (regulates) BTG1","S333s","SCION","","","ENSG00000133639.6","","muscle","0.102725199693423"
"4","13275.041269842095","regulates","EE","CIC (regulates) RNF185","",,,"Q96RK0_S739s","false","regulates","CIC (regulates) RNF185","S739s","SCION","","","ENSG00000138942.17","","muscle","0.132977323328164"
"13","594722.5216449854","regulates","RE","NFIC (regulates) PDGFRA","",,,"P08651_S333s","false","regulates","NFIC (regulates) PDGFRA","S333s","SCION","","","ENSG00000134853.12","","muscle","0.311110338894205"
"13","169128.29246032235","regulates","RE","NFIC (regulates) PUM1","",,,"P08651_S333s","false","regulates","NFIC (regulates) PUM1","S333s","SCION","","","ENSG00000134644.16","","muscle","0.110831564482611"
"13","542937.5478354797","regulates","RE","NFIC (regulates) DYNC1LI2","",,,"P08651_S333s","false","regulates","NFIC (regulates) DYNC1LI2","S333s","SCION","","","ENSG00000135720.13","","muscle","0.21854039341595"
"13","119234.13311687727","regulates","RE","NFIC (regulates) WDR36","",,,"P08651_S333s","false","regulates","NFIC (regulates) WDR36","S333s","SCION","","","ENSG00000134987.13","","muscle","0.15257755739915"
,"13604.928571428443","binds","","MEIS1 (binds) ATP6V1F","chr7","128854860","128853904","","false","binds","MEIS1 (binds) ATP6V1F","","MAGICAL","+","ENSG00000128524.5","","ENSG00000143995.20","",
"13","507752.06673880987","regulates","RE","NFIC (regulates) EPC2","",,,"P08651_S333s","false","regulates","NFIC (regulates) EPC2","S333s","SCION","","","ENSG00000135999.12","","muscle","0.310874499516121"
"13","446765.8109126945","regulates","RE","NFIC (regulates) RC3H1","",,,"P08651_S333s","false","regulates","NFIC (regulates) RC3H1","S333s","SCION","","","ENSG00000135870.12","","muscle","0.20217546849284"
,"50788.12777778423","binds","","MEIS1 (binds) C3orf18","chr3","50643624","50643143","","false","binds","MEIS1 (binds) C3orf18","","MAGICAL","-","ENSG00000088543.15","","ENSG00000143995.20","",
"13","364231.02009169396","regulates","RE","NFIC (regulates) TBC1D4","",,,"P08651_S333s","false","regulates","NFIC (regulates) TBC1D4","S333s","SCION","","","ENSG00000136111.14","","muscle","0.115119334051208"
"13","34571.45152625109","regulates","RE","NFIC (regulates) PWP1","",,,"P08651_S333s","false","regulates","NFIC (regulates) PWP1","S333s","SCION","","","ENSG00000136045.12","","muscle","0.141350577486413"
"13","1120940.1335164572","regulates","RE","NFIC (regulates) TM6SF1","",,,"P08651_S333s","false","regulates","NFIC (regulates) TM6SF1","S333s","SCION","","","ENSG00000136404.16","","muscle","0.177171936056562"
,"27158.500000000022","binds","","MEIS1 (binds) C2orf69","chr2","199863249","199862600","","false","binds","MEIS1 (binds) C2orf69","","MAGICAL","+","ENSG00000178074.6","","ENSG00000143995.20","",
"4","3183.348366013112","regulates","EE","CIC (regulates) KLHL40","",,,"Q96RK0_S739s","false","regulates","CIC (regulates) KLHL40","S739s","SCION","","","ENSG00000157119.12","","muscle","0.109923009422681"
"8","572758.8629148263","regulates","EE","NFIC (regulates) NUDT15","",,,"P08651_S333s","false","regulates","NFIC (regulates) NUDT15","S333s","SCION","","","ENSG00000136159.4","","muscle","0.159388941131373"
"13","629841.6417915089","regulates","RE","NFIC (regulates) TMEM63B","",,,"P08651_S333s","false","regulates","NFIC (regulates) TMEM63B","S333s","SCION","","","ENSG00000137216.19","","muscle","0.139492627705721"
"13","178707.73073593937","regulates","RE","NFIC (regulates) ANP32B","",,,"P08651_S333s","false","regulates","NFIC (regulates) ANP32B","S333s","SCION","","","ENSG00000136938.9","","muscle","0.11515816289566"
"13","196930.95454546207","regulates","RE","NFIC (regulates) UNC13C","",,,"P08651_S333s","false","regulates","NFIC (regulates) UNC13C","S333s","SCION","","","ENSG00000137766.18","","muscle","0.21230506566865"
,"6676.749999999684","binds","","MEIS1 (binds) CCDC136","chr7","128854860","128853904","","false","binds","MEIS1 (binds) CCDC136","","MAGICAL","+","ENSG00000128596.17","","ENSG00000143995.20","",
"13","550062.455735961","regulates","RE","NFIC (regulates) CREBZF","",,,"P08651_S333s","false","regulates","NFIC (regulates) CREBZF","S333s","SCION","","","ENSG00000137504.15","","muscle","0.35748227704076"
,"31938.77142856838","binds","","MEIS1 (binds) CCDC62","chr12","122842156","122841596","","false","binds","MEIS1 (binds) CCDC62","","MAGICAL","+","ENSG00000130783.14","","ENSG00000143995.20","",
"13","436326.04084526957","regulates","RE","NFIC (regulates) PLCE1","",,,"P08651_S333s","false","regulates","NFIC (regulates) PLCE1","S333s","SCION","","","ENSG00000138193.17","","muscle","0.226298914490042"
,"40174.7571428614","binds","","MEIS1 (binds) CLSTN1","chr1","9891058","9890154","","false","binds","MEIS1 (binds) CLSTN1","","MAGICAL","-","ENSG00000171603.18","","ENSG00000143995.20","",
"13","89723.14743230033","regulates","RE","NFIC (regulates) SLC44A5","",,,"P08651_S333s","false","regulates","NFIC (regulates) SLC44A5","S333s","SCION","","","ENSG00000137968.17","","muscle","0.104709549636457"
"13","628926.6417915089","regulates","RE","NFIC (regulates) CHRNA1","",,,"P08651_S333s","false","regulates","NFIC (regulates) CHRNA1","S333s","SCION","","","ENSG00000138435.16","","muscle","0.254826660998377"
"13","373446.44866310817","regulates","RE","NFIC (regulates) ASNSD1","",,,"P08651_S333s","false","regulates","NFIC (regulates) ASNSD1","S333s","SCION","","","ENSG00000138381.10","","muscle","0.123589933714895"
"13","629710.3560772118","regulates","RE","NFIC (regulates) NUP54","",,,"P08651_S333s","false","regulates","NFIC (regulates) NUP54","S333s","SCION","","","ENSG00000138750.15","","muscle","0.106043649875469"
"13","146805.14940474753","regulates","RE","NFIC (regulates) SLC40A1","",,,"P08651_S333s","false","regulates","NFIC (regulates) SLC40A1","S333s","SCION","","","ENSG00000138449.11","","muscle","0.12958946012167"
"4","416482.25645531114","regulates","EE","SAFB (regulates) GIT2","",,,"Q15424_S234s","false","regulates","SAFB (regulates) GIT2","S234s","SCION","","","ENSG00000139436.22","","muscle","0.140290174920919"
"13","39274.16587301521","regulates","RE","NFIC (regulates) RNF185","",,,"P08651_S333s","false","regulates","NFIC (regulates) RNF185","S333s","SCION","","","ENSG00000138942.17","","muscle","0.145088564224182"
"13","194688.78073592568","regulates","RE","NFIC (regulates) CNOT6L","",,,"P08651_S333s","false","regulates","NFIC (regulates) CNOT6L","S333s","SCION","","","ENSG00000138767.14","","muscle","0.18204256533624"
"13","279681.3643939531","regulates","RE","NFIC (regulates) FGD4","",,,"P08651_S333s","false","regulates","NFIC (regulates) FGD4","S333s","SCION","","","ENSG00000139132.16","","muscle","0.176059026866238"
