GeneSym,ENCODE_2015,Akerberg_et_al_2019,any
CSNK1A1,0,1,1
PARD3,0,1,1
MTAP,0,0,0
ZNF426,0,0,0
SF3B1,0,0,0
MACROH2A2,NA,0,0
POFUT1,1,0,1
SUCO,0,0,0
RNF122,0,0,0
HIPK2,0,0,0
TMCC3,0,0,0
ENSG00000226252.1,NA,0,0
ZNF213,0,0,0
BCORL1,0,0,0
GOLGA4,0,0,0
PHC3,0,0,0
ACTN2,0,0,0
MAN2A1,0,1,1
SIK1,0,0,0
NEDD9,1,0,1
TNRC6C,0,1,1
PRPF4B,0,0,0
TP53BP2,0,1,1
MAP3K13,0,0,0
KDM5A,0,0,0
ISG20L2,0,0,0
CEP85L,1,0,1
UCK2,0,0,0
ARPP19,1,0,1
TTC7A,0,0,0
ATP1B1,0,0,0
DUSP5,1,1,1
NUP98,0,1,1
PDE4A,1,0,1
ZNF805,0,0,0
SPHK2,1,0,1
CS,1,0,1
BRD2,0,1,1
MYC,0,1,1
DTNBP1,0,0,0
MED13,0,0,0
SLC36A1,0,0,0
RASA4B,NA,0,0
TFAM,1,0,1
PHF23,0,0,0
PLAU,1,0,1
ABHD2,0,0,0
SMURF1,0,0,0
RAB15,0,0,0
HBP1,0,0,0
GPR75,0,0,0
OSBPL7,0,0,0
ATF6,1,0,1
RASIP1,0,0,0
MCMBP,1,0,1
ZKSCAN2-DT,NA,0,0
MED26,0,0,0
ZBTB7A,0,1,1
GDAP1,0,0,0
MED25,0,0,0
CHRAC1,1,1,1
IL1R1,0,0,0
ENSG00000286379.1,NA,0,0
BMI1,0,0,0
FBXO31,0,0,0
EEA1,1,1,1
CPEB4,1,0,1
RNF152,0,0,0
PLP2,0,0,0
SLC7A6,0,0,0
PRR33,NA,0,0
GDAP2,0,0,0
NR4A1,0,1,1
P4HA1,0,0,0
UPK3BL1,NA,0,0
PPM1F-AS1,NA,0,0
SIAH1,0,0,0
EGR2,1,0,1
ENSG00000280138.1,NA,0,0
ENSG00000279759.1,NA,0,0
SRSF3,1,1,1
CEP76,0,0,0
ZCCHC17,0,0,0
RNFT1,0,0,0
MYLK2,0,0,0
DIDO1,0,0,0
ENSG00000289293.1,NA,0,0
ENSG00000288980.1,NA,0,0
ENSG00000279088.1,NA,0,0
SRSF5,0,0,0
DUSP1,0,0,0
PRRC2B,0,0,0
B3GLCT,NA,0,0
SNW1,0,0,0
PSMC6,0,0,0
ENSG00000287570.1,NA,0,0
ENSG00000251615.3,NA,0,0
HMOX1,0,0,0
ABHD4,0,1,1
AREG,0,0,0
TOM1,0,1,1
WHAMMP3,0,0,0
GABPB1-IT1,NA,0,0
ENSG00000278922.1,NA,0,0
ENSG00000273576.1,NA,0,0
ENSG00000273295.1,NA,0,0
JOSD1,1,1,1
IRS2,0,1,1
SLC19A2,0,0,0
ENSG00000272144.1,NA,0,0
TTLL11,0,0,0
SORT1,0,0,0
ENSG00000280287.1,NA,0,0
SMG1P4,NA,0,0
ENSG00000272078.1,NA,0,0
SNTB1,0,0,0
KCNK6,0,1,1
IZUMO4,1,0,1
AMPD3,0,0,0
CASTOR2,NA,0,0
IKZF5,1,0,1
ENSG00000267934.1,NA,0,0
RAB11FIP3,0,0,0
ENSG00000267724.1,NA,0,0
SLC43A2,0,0,0
DPH1,0,1,1
SNAP23,0,0,0
PDCD7,0,1,1
CCER2,0,0,0
ESF1,0,0,0
ORC5,0,0,0
TIPARP,1,1,1
ENSG00000260793.3,NA,0,0
DIAPH1,1,1,1
ARL5A,1,0,1
CACHD1,0,1,1
SYNE1,0,1,1
NOX4,0,0,0
TSPAN7,0,0,0
CHERP,0,0,0
ERF,0,0,0
ENSG00000260751.2,NA,0,0
AKAP6,0,0,0
RAB10,0,0,0
ENSG00000258987.2,NA,0,0
NFE2L1,0,0,0
NNT-AS1,NA,0,0
SEMA4C,0,1,1
PKP1,0,0,0
UBE2Q2,0,0,0
CXCL2,0,0,0
GATA2,0,0,0
ENSG00000242588.6,NA,0,0
FAM8A1,1,1,1
SYT11,1,0,1
ZSWIM4,0,0,0
REXO1,1,1,1
ENSG00000238273.3,NA,0,0
ZHX2,0,1,1
DDX24,0,1,1
MAP1S,0,0,0
SNX9,0,0,0
OSBPL8,0,1,1
FOSL2,0,1,1
ATXN1,1,0,1
ACIN1,0,0,0
JUN,1,1,1
MPHOSPH10,1,0,1
SNHG7,1,0,1
NCOA5,0,0,0
SEH1L,1,1,1
NCK2,0,1,1
MBNL1-AS1,NA,0,0
TGIF1,0,0,0
ATP2B1,0,1,1
OSBPL3,0,0,0
CDKN1A,0,0,0
PHRF1,0,1,1
ENOX1,0,0,0
CSNK2A2,0,1,1
PUM3,NA,0,0
SELENOS,NA,0,0
SET,0,1,1
TNFRSF1A,0,0,0
RASSF1,0,1,1
ENSG00000225032.5,NA,0,0
GPR179,0,0,0
GAB3,0,0,0
NEDD4,0,1,1
LIMCH1,0,1,1
PDC-AS1,NA,0,0
WIPF3,0,0,0
CEBPD,0,1,1
SOCS7,0,0,0
GPSM2,0,0,0
NCOA1,0,0,0
FABP3,0,1,1
PPP2R5A,0,0,0
SCAF8,0,1,1
SLK,0,1,1
FSD1L,0,0,0
RAB12,0,0,0
TBC1D22B,1,0,1
MIER2,0,0,0
MIR29B2CHG,NA,0,0
SATB2-AS1,NA,0,0
AFG3L1P,0,0,0
RASSF5,0,0,0
FAM184B,0,0,0
CCNI,1,0,1
LCP2,0,0,0
GSPT1,0,0,0
ZXDB,0,0,0
PIAS1,1,0,1
ARHGEF7,0,0,0
ATP6V0A1,1,0,1
ENSG00000215022.8,NA,0,0
UVRAG,0,0,0
JMJD1C,1,0,1
YEATS2,0,0,0
EDC4,1,0,1
PLCL2,1,1,1
ZNF540,0,0,0
ARL16,0,0,0
PPM1A,0,1,1
RND3,0,1,1
PKIA,1,0,1
BCAR1,0,0,0
CALCOCO1,0,0,0
SLC25A29,0,0,0
ZNF254,0,0,0
IFRD1,0,0,0
PXN,0,1,1
MT-TN,NA,0,0
HCP5,NA,0,0
REST,0,0,0
SAMD9,0,0,0
SLC35F1,0,0,0
RANBP9,1,1,1
SIK2,1,1,1
PRECSIT,NA,0,0
PDK4,0,1,1
HDAC9,1,1,1
BTBD8,0,1,1
CYTH3,0,0,0
EIF3J,0,0,0
HSF2,0,0,0
ZFX,1,0,1
TPRG1,0,0,0
PLEKHN1,0,0,0
GCLM,0,0,0
NCOA6,0,0,0
SEC31B,0,0,0
MT1X,0,0,0
CREBBP,0,1,1
C3orf35,NA,0,0
PSMA7,0,0,0
TLK1,0,0,0
POLR2M,1,0,1
E2F6,0,1,1
LAD1,0,0,0
NUP133,0,0,0
TSPYL2,0,0,0
SEMA3F,0,0,0
ZNF441,0,0,0
TLE1,1,0,1
JRKL,0,0,0
ATG2B,0,0,0
ZNF252P,0,0,0
KDM7A,1,0,1
SLC12A2,1,1,1
FRAT2,0,1,1
PHKG2,0,0,0
ELMO2,1,1,1
SLX4,0,0,0
TMEM201,0,0,0
MED14,0,0,0
MAPRE2,0,0,0
OST4,0,1,1
PTCH1,0,0,0
GLDC,0,0,0
MADD,0,0,0
ZNF546,0,0,0
ENTPD5,0,0,0
ULK1,0,0,0
ZBTB6,1,0,1
SEMA4B,1,1,1
GAPVD1,0,0,0
ZBTB40,1,0,1
NFIL3,1,0,1
SOX17,0,0,0
PRR14L,1,0,1
CXCR6,0,0,0
CEP57L1,0,0,0
SIK1B,NA,0,0
CAMTA1,1,1,1
ASXL1,1,1,1
SPNS2,0,0,0
ZNF721,0,0,0
TMEM126B,0,0,0
BLOC1S6,0,0,0
STARD4,0,0,0
USP31,0,1,1
NIPBL,1,0,1
LIMK2,0,0,0
ERCC6L2,1,0,1
ABCC1,0,0,0
TNRC18,0,1,1
LSMEM1,1,0,1
KLHL41,0,1,1
DR1,1,1,1
PLA2G4F,0,0,0
PLD5,0,0,0
PCBP1-AS1,1,0,1
PITX3,0,0,0
LRP1B,0,0,0
SNX18,1,1,1
TAP1,0,0,0
MIB1,0,1,1
JPT2,NA,0,0
ZNF234,0,0,0
WDR26,0,1,1
ERO1A,NA,0,0
TPM1-AS,NA,0,0
TAL1,0,0,0
GARRE1,NA,0,0
MTRNR2L8,0,0,0
APPL2,0,1,1
PPTC7,0,0,0
ENSG00000255148.2,NA,0,0
TAMALIN,NA,0,0
LINC00476,1,0,1
SQSTM1,1,0,1
ATP9B,0,0,0
HDAC2,0,0,0
NSMF,0,0,0
SNHG32,NA,0,0
DACT1,0,0,0
MEG9,NA,0,0
OGDH,0,1,1
PDIK1L,1,1,1
HOGA1,0,0,0
ENSG00000165121.12,NA,0,0
HNRNPK,1,0,1
PKD1P6,NA,0,0
TMEM184A,0,0,0
LRRFIP2,1,0,1
XXYLT1,0,0,0
NR1D2,1,0,1
IFNGR2,0,0,0
SLC16A1-AS1,NA,0,0
ICE1,0,0,0
HMGB2,0,1,1
POP7,0,0,0
PDE7B,0,0,0
OGFOD1,0,0,0
CEL,0,0,0
GADD45G,0,1,1
LINC02693,NA,0,0
YY1AP1,0,0,0
DCAF16,0,0,0
SH3BGR,0,1,1
IPO7,0,0,0
BBS5,0,0,0
RAB24,0,0,0
EAPP,0,0,0
C1QTNF9,0,0,0
CSNK1G1,0,0,0
STX18,1,0,1
TBC1D8,0,0,0
DTYMK,0,0,0
NXF1,1,0,1
ANKS3,0,0,0
GDNF,0,0,0
ABCA5,0,0,0
MAML1,0,0,0
MRNIP,NA,0,0
MXRA7,0,0,0
SP2,1,0,1
ISLR2,0,0,0
UBALD1,0,1,1
CNPY4,0,0,0
NR4A2,1,1,1
LMCD1,0,1,1
SKI,0,0,0
HNRNPU,1,1,1
SPPL3,0,0,0
NRROS,0,0,0
RAB8B,0,0,0
ADAMTS15,0,0,0
CEP295,NA,0,0
HOMER1,1,1,1
KCNE4,0,0,0
TRUB1,0,0,0
DCUN1D3,0,0,0
SAV1,1,1,1
DEPP1,NA,1,1
CRIM1,0,1,1
PDE1C,0,0,0
PPDPFL,NA,0,0
NCKAP1,0,0,0
ARID5B,1,0,1
MBNL1,1,0,1
CCDC50,0,0,0
NEB,0,0,0
ADCY1,0,0,0
DSEL,0,0,0
USP49,0,0,0
CITED2,0,1,1
CCDC51,0,0,0
ARHGEF3,0,0,0
MAPRE3,0,0,0
RELL1,0,0,0
JPH2,0,1,1
OGT,1,0,1
USP28,0,1,1
TOMM5,0,0,0
MAPKAPK2,0,0,0
RNF169,0,0,0
SESN3,0,1,1
PAM,1,0,1
TAF5,0,1,1
NOTCH1,1,0,1
VCL,0,1,1
AMFR,0,0,0
U2AF1L4,0,0,0
ANKRD2,0,1,1
ZNF714,0,0,0
PI4KB,0,0,0
IQCC,0,0,0
THEM4,1,0,1
SH3KBP1,0,0,0
ZNF622,1,1,1
ABRA,0,1,1
MEPCE,1,0,1
ZNF618,0,0,0
ZNF697,0,0,0
LCA5L,0,0,0
PWWP3B,NA,0,0
IL34,0,0,0
CCT5,0,0,0
KAT6B,1,1,1
EIF2AK3,0,0,0
BDP1,0,0,0
C11orf24,0,1,1
NFS1,0,0,0
PDLIM5,0,0,0
PSMA5,0,0,0
FBXL18,0,0,0
CENPC,0,0,0
MPPE1,0,0,0
RNF139,0,1,1
SNIP1,0,1,1
PPM1D,0,0,0
SOCS6,0,0,0
LIMS1,0,1,1
RUSC2,0,0,0
NCAPD3,0,0,0
RHOB,1,1,1
VIPAS39,0,0,0
ZC3H6,1,1,1
ARNT,0,1,1
MCL1,1,1,1
VGLL2,0,0,0
LMOD1,0,0,0
DIPK2B,NA,0,0
MAT2A,0,0,0
DOK3,0,0,0
LIMA1,0,0,0
RANBP10,0,0,0
PRPH2,0,0,0
LCLAT1,0,0,0
C18orf25,0,0,0
HOOK3,0,0,0
SPEN,0,0,0
SLC25A4,1,1,1
PPOX,0,0,0
TBK1,0,0,0
HLX,1,0,1
TRIM8,1,1,1
CKMT2-AS1,NA,0,0
CRTC3,0,0,0
